año,mes,cve_ent,entidad,cve_mun,municipio,organismo,modalidad,destino,tipo,sexo,edad_rango,ingresos_rango,vivienda_valor,acciones,monto
2019,1,9,Ciudad de México,3,Coyoacán,2,3,3,2,1,1,6,4,1,1311866
2019,1,9,Ciudad de México,3,Coyoacán,2,3,3,2,1,2,3,4,1,1523304
2019,1,9,Ciudad de México,3,Coyoacán,2,3,3,2,1,2,6,5,2,4079890
2019,1,9,Ciudad de México,3,Coyoacán,2,3,3,2,1,2,6,6,1,2000000
2019,1,9,Ciudad de México,3,Coyoacán,2,3,3,1,1,1,6,6,2,8495000
2019,1,9,Ciudad de México,3,Coyoacán,2,3,3,1,1,2,6,5,1,1650000
2019,1,9,Ciudad de México,3,Coyoacán,2,3,3,1,1,2,6,6,1,10500000
2019,1,9,Ciudad de México,3,Coyoacán,2,3,3,1,2,2,6,5,1,2205000
2019,1,9,Ciudad de México,3,Coyoacán,2,3,3,1,2,2,6,6,1,3522992
2019,1,9,Ciudad de México,3,Coyoacán,2,3,3,1,2,3,6,4,3,3651300
2019,1,9,Ciudad de México,3,Coyoacán,2,3,3,1,2,3,6,6,2,7420000
2019,1,9,Ciudad de México,3,Coyoacán,2,4,,1,1,3,1,3,1,428155
2019,1,9,Ciudad de México,3,Coyoacán,2,4,,1,1,3,6,4,1,669750
2019,1,9,Ciudad de México,3,Coyoacán,2,4,,1,2,2,5,4,1,1079662
2019,1,9,Ciudad de México,3,Coyoacán,2,4,,1,2,2,6,5,1,2915164
2019,1,9,Ciudad de México,3,Coyoacán,2,4,,1,2,3,6,3,1,182356
2019,1,9,Ciudad de México,3,Coyoacán,2,4,4,1,1,2,6,4,1,850000
2019,1,9,Ciudad de México,3,Coyoacán,2,4,4,1,2,2,6,5,1,1714595
2019,1,9,Ciudad de México,3,Coyoacán,2,4,4,1,2,2,6,6,1,2871500
2019,1,9,Ciudad de México,3,Coyoacán,2,4,6,1,1,2,6,5,1,2000000
2019,1,9,Ciudad de México,3,Coyoacán,2,4,6,1,2,2,6,4,1,835500
2019,1,9,Ciudad de México,3,Coyoacán,2,4,6,1,2,2,6,6,1,4656600
2019,1,9,Ciudad de México,3,Coyoacán,3,3,3,2,1,2,4,5,2,723834.86
2019,1,9,Ciudad de México,3,Coyoacán,4,2,1,1,2,2,1,,1,0
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,1,2,2,1,,6,5,1,0
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,1,2,2,1,2,6,5,1,540925.96
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,1,2,2,1,2,6,6,1,811637.2
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,1,2,2,2,,1,5,1,0
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,1,2,2,2,,5,4,1,0
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,1,2,2,2,,6,5,2,0
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,2,1,2,1,2,2,,1,0
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,2,1,2,1,2,3,,3,0
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,2,1,2,1,2,4,,3,0
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,2,1,2,2,2,2,,1,0
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,2,1,2,2,2,4,,1,0
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,2,1,1,1,2,3,1,2,232409.67
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,3,3,2,,2,6,6,1,1111664.67
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,3,3,2,1,2,6,6,5,4375237.19
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,3,3,2,2,2,6,6,1,601965.6
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,1,4,4,1,1,2,6,3,1,663220.42
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,1,2,2,1,2,4,4,1,710994
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,1,2,2,1,2,6,6,1,2000000
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,1,2,2,2,2,3,3,1,600000
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,1,2,1,1,2,6,5,4,8581000
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,1,2,1,1,2,6,6,4,59169236
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,1,2,1,1,3,6,6,2,2875548
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,1,2,1,2,2,6,6,5,55919840
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,1,5,1,1,2,6,1,1,72965
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,2,1,2,1,2,2,1,1,32738
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,2,1,2,1,2,3,1,3,143248
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,2,1,2,1,2,4,1,1,37354
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,2,1,2,2,2,1,1,1,31853
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,2,1,2,2,2,4,1,1,54885
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,2,1,1,1,2,3,1,1,54885
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,4,,1,1,2,4,6,1,2314542
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,4,6,1,1,2,6,6,1,12000000
2019,1,9,Ciudad de México,4,Cuajimalpa de Morelos,2,4,6,1,2,2,6,6,2,5400000
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,1,2,2,1,,6,4,2,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,1,2,2,1,,6,5,3,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,1,2,2,1,2,3,4,1,474168.36
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,1,2,2,1,2,5,5,1,408370.04
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,1,2,2,1,2,6,4,2,1242197.42
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,1,2,2,1,2,6,6,1,678325.96
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,1,2,2,2,2,5,4,1,849971.1
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,1,2,2,2,2,6,4,2,2696516.21
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,1,1,,2,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,1,2,,2,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,1,3,,5,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,1,4,,3,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,2,1,,7,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,2,2,,7,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,2,3,,6,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,2,4,,1,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,1,2,6,,2,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,2,1,1,,2,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,2,1,3,,1,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,2,2,1,,9,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,2,2,2,,4,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,2,2,3,,4,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,2,2,4,,1,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,2,2,5,,1,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,2,2,2,6,,1,0
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,1,1,3,1,1,85716.01
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,1,2,1,1,7,899602.19
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,1,2,2,1,4,408399.39
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,1,2,3,1,5,547862.39
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,1,2,4,1,4,603219.69
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,1,2,5,1,2,364247.04
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,1,2,6,1,1,269525.91
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,2,2,3,1,2,230052.54
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,2,2,4,1,1,214669.94
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,2,1,1,2,2,6,1,1,140277.96
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,3,3,2,1,1,4,3,1,685028.64
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,3,3,2,1,2,6,4,1,1149073.69
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,3,3,2,1,2,6,5,2,1127883.17
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,3,3,2,2,2,4,5,1,354812.99
2019,1,9,Ciudad de México,5,Gustavo A. Madero,1,3,3,2,2,2,6,5,1,454167.28
